Trial #	Cell #	Observation #	Rel. Time	Offset	Elapsed Time
-1	-1	-1	00:00:03.774	2	0
-1	-1	-1	00:00:08.107	2	4333
-1	-1	-1	00:00:12.340	3	4233
-1	-1	-1	00:00:16.532	3	4192
-1	-1	-1	00:00:20.632	3	4100
-1	-1	-1	00:00:24.757	3	4125
-1	-1	-1	00:00:28.816	2	4059
-1	-1	-1	00:00:33.007	3	4191
-1	-1	-1	00:00:37.166	2	4159
-1	-1	-1	00:00:41.266	2	4100
-1	-1	-1	00:00:45.482	3	4216
-1	-1	-1	00:00:49.549	3	4067
-1	-1	-1	00:00:53.682	3	4133
-1	-1	-1	00:00:57.766	3	4084
-1	-1	-1	00:01:01.841	3	4075
-1	-1	-1	00:01:06.009	2	4168
-1	-1	-1	00:01:10.208	3	4199
-1	-1	-1	00:01:14.408	3	4200
-1	-1	-1	00:01:18.576	2	4168
-1	-1	-1	00:01:22.792	3	4216
-1	-1	-1	00:01:26.959	2	4167
-1	-1	-1	00:01:31.134	3	4175
-1	-1	-1	00:01:35.367	3	4233
-1	-1	-1	00:01:39.484	3	4117
-1	-1	-1	00:01:43.642	3	4158
-1	-1	-1	00:01:47.884	3	4242
-1	-1	-1	00:01:52.109	3	4225
-1	-1	-1	00:01:56.201	3	4092
-1	-1	-1	00:02:00.268	2	4067
-1	-1	-1	00:02:04.484	3	4216
-1	-1	-1	00:02:08.567	3	4083
-1	-1	-1	00:02:12.736	1	4169
-1	-1	-1	00:02:16.976	3	4240
-1	-1	-1	00:02:21.052	3	4076
-1	-1	-1	00:02:25.210	3	4158
-1	-1	-1	00:02:29.377	3	4167
-1	-1	-1	00:02:33.561	2	4184
-1	-1	-1	00:02:37.719	3	4158
-1	-1	-1	00:02:41.827	3	4108
-1	-1	-1	00:02:46.069	3	4242
-1	-1	-1	00:02:50.219	3	4150
-1	-1	-1	00:02:54.469	3	4250
-1	-1	-1	00:02:58.703	2	4234
-1	-1	-1	00:03:02.920	2	4217
-1	-1	-1	00:03:07.161	3	4241
-1	-1	-1	00:03:11.386	3	4225
-1	-1	-1	00:03:15.503	3	4117
-1	-1	-1	00:03:19.728	3	4225
-1	-1	-1	00:03:23.819	3	4091
-1	-1	-1	00:03:27.928	3	4109
-1	-1	-1	00:03:32.104	3	4176
-1	-1	-1	00:03:36.296	2	4192
-1	-1	-1	00:03:40.413	2	4117
-1	-1	-1	00:03:44.488	2	4075
-1	-1	-1	00:03:48.554	3	4066
-1	-1	-1	00:03:52.796	3	4242
-1	-1	-1	00:03:56.905	2	4109
-1	-1	-1	00:04:01.113	2	4208
-1	-1	-1	00:04:05.362	4	4249
-1	-1	-1	00:04:09.480	2	4118
-1	-1	-1	00:04:13.588	3	4108
-1	-1	-1	00:04:17.663	3	4075
-1	-1	-1	00:04:21.896	3	4233
-1	-1	-1	00:04:26.072	2	4176
-1	-1	-1	00:04:30.230	3	4158
-1	-1	-1	00:04:34.338	3	4108
-1	-1	-1	00:04:38.488	3	4150
-1	-1	-1	00:04:42.689	2	4201
-1	-1	-1	00:04:46.906	3	4217
-1	-1	-1	00:04:51.122	3	4216
-1	-1	-1	00:04:55.281	3	4159
-1	-1	-1	00:04:59.456	3	4175
-1	-1	-1	00:05:03.598	3	4142
-1	-1	-1	00:05:07.848	3	4250
-1	-1	-1	00:05:12.073	3	4225
-1	-1	-1	00:05:16.139	3	4066
-1	-1	-1	00:05:20.356	3	4217
-1	-1	-1	00:05:24.615	3	4259
-1	-1	-1	00:05:28.823	3	4208
-1	-1	-1	00:05:33.040	3	4217
-1	-1	-1	00:05:37.148	3	4108
-1	-1	-1	00:05:41.248	3	4100
-1	-1	-1	00:05:45.331	3	4083
-1	-1	-1	00:05:49.498	3	4167
-1	-1	-1	00:05:53.607	3	4109
-1	-1	-1	00:05:57.748	3	4141
-1	-1	-1	00:06:01.915	3	4167
-1	-1	-1	00:06:06.175	1	4260
-1	-1	-1	00:06:10.417	2	4242
-1	-1	-1	00:06:14.475	3	4058
-1	-1	-1	00:06:18.700	3	4225
-1	-1	-1	00:06:22.942	2	4242
-1	-1	-1	00:06:27.183	3	4241
-1	-1	-1	00:06:31.250	3	4067
-1	-1	-1	00:06:35.475	3	4225
-1	-1	-1	00:06:39.558	3	4083
-1	-1	-1	00:06:43.667	3	4109
-1	-1	-1	00:06:47.842	3	4175
-1	-1	-1	00:06:51.917	3	4075
-1	-1	-1	00:06:56.009	2	4092
-1	-1	-1	00:07:00.108	3	4099
-1	-1	-1	00:07:04.342	3	4234
-1	-1	-1	00:07:08.551	2	4209
-1	-1	-1	00:07:12.642	3	4091
-1	-1	-1	00:07:16.700	3	4058
-1	-1	-1	00:07:20.860	3	4160
-1	-1	-1	00:07:24.926	3	4066
-1	-1	-1	00:07:29.077	2	4151
-1	-1	-1	00:07:33.160	3	4083
-1	-1	-1	00:07:37.235	3	4075
-1	-1	-1	00:07:41.468	3	4233
-1	-1	-1	00:07:45.685	3	4217
-1	-1	-1	00:07:49.785	3	4100
-1	-1	-1	00:07:53.877	3	4092
-1	-1	-1	00:07:58.011	2	4134
-1	-1	-1	00:08:02.144	3	4133
-1	-1	-1	00:08:06.369	3	4225
-1	-1	-1	00:08:10.552	3	4183
-1	-1	-1	00:08:14.710	3	4158
-1	-1	-1	00:08:18.785	3	4075
-1	-1	-1	00:08:22.969	3	4184
-1	-1	-1	00:08:27.053	2	4084
-1	-1	-1	00:08:31.269	3	4216
-1	-1	-1	00:08:35.512	3	4243
-1	-1	-1	00:08:39.687	3	4175
-1	-1	-1	00:08:43.846	2	4159
-1	-1	-1	00:08:47.978	3	4132
-1	-1	-1	00:08:52.153	3	4175
-1	-1	-1	00:08:56.362	3	4209
-1	-1	-1	00:09:00.429	3	4067
-1	-1	-1	00:09:04.529	3	4100
-1	-1	-1	00:09:08.637	3	4108
-1	-1	-1	00:09:12.704	3	4067
-1	-1	-1	00:09:16.887	3	4183
-1	-1	-1	00:09:20.996	3	4109
-1	-1	-1	00:09:25.137	3	4141
-1	-1	-1	00:09:29.296	3	4159
-1	-1	-1	00:09:33.363	2	4067
-1	-1	-1	00:09:37.462	3	4099
-1	-1	-1	00:09:41.680	2	4218
-1	-1	-1	00:09:45.937	3	4257
-1	-1	-1	00:09:50.171	3	4234
-1	-1	-1	00:09:54.397	3	4226
-1	-1	-1	00:09:58.480	3	4083
